artifact	bytes	sha256	description
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_42f83767.json	80651	8d3ca650532143d28eb8b66d3bf2cddc1fb494209cbcbc021ef688a38cc5341d	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_42f83767.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_8abad3cf.json	6185	291a5e6397ee06301570ff2899f5ff5cf39c470eda05c16e9ba5f3a8a646fe45	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C3_8abad3cf.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_00576224.json	123973	13cba7ecc90da77854442c9d64002ad927535d1041121c03b6f289cc7d71a494	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_00576224.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_009d5c81.json	228564	4a398ee07c4984fcf09a8461961acdb97f2441021d8e8a87f82f649b5d5edde3	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_009d5c81.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_0520fde7.json	10016	1dbdca3b43526562144fce5d13b2c27cd853b81ed2aeed473ebe9d7643f03d46	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_0520fde7.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_42f83767.json	122601	b6012840ab43a723643bfdac953a47cdd82fab4ac917f952e81cf9838e423d4b	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_42f83767.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_8abad3cf.json	4409	c48616402a8af848bb5854ef3613921671a674eafe3d023e1cbed2ab2117b82d	one task's solve_task_cli.py output (grids, candidates, timing)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/per_task/C4_8abad3cf.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	one task's subprocess stdout/stderr (empty in normal runs)
artifacts/EXP002C2/pilot_kernel_output/exp002c2_pilot/telemetry_monitor.log	357152	6c8bedd7ac6820776f2747c018b1eca5c0d9e8c40ea08c076c8cf14b3d5be90a	raw GPU+host telemetry samples, ~2s interval
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2-oversubscription-pilot.log	13860	294b1a2d6ec664fee2fe5a629259c647fe2ba6c1416f7823b385110470088ad2	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/c3c4_report.json	2842	1e1cb16f57c28a029f29265fa7898f5b5ec25203c5d7f3e1ff4aae06e7e74d12	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/config_C3.json	1681	54a3529f100f1b9f7940545ec65c417abf63d5cbc9c3115aa5bf4b55b8941737	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/config_C4.json	1692	8b36d00acee96ef215dc5618ae9090661dca2bbd6725b88c4ac5a3e96a2375ea	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C3_00576224.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C3_009d5c81.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C3_0520fde7.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C3_42f83767.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C3_8abad3cf.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C4_00576224.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C4_009d5c81.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C4_0520fde7.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C4_42f83767.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/per_task/C4_8abad3cf.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	v1 kernel output (false-abort bug), preserved for the record
artifacts/EXP002C2/pilot_kernel_output_v1_false_abort/exp002c2_pilot/telemetry_monitor.log	177069	8aaeec864a79e448736fef8c05f8792274a079ff2c43179846ebe3e249f3118e	v1 kernel output (false-abort bug), preserved for the record
