task_id,n_train,n_test,n_test_with_output,input_height_max,input_width_max,input_cells_max,output_height_max,output_width_max,output_cells_max,n_input_colours,n_output_colours,introduces_colours,removes_colours,objects_input_mean,objects_output_mean,size_relation,output_shape_varies,few_demonstrations,large_grid,split
150deff5,3,1,1,9,11,99,9,11,99,2,3,True,True,1.25,5.25,same,True,False,False,kaggle_training
15113be4,3,1,1,23,23,529,23,23,529,7,7,False,False,57.75,64.5,same,False,False,True,kaggle_training
15660dd6,2,1,1,25,29,638,7,27,162,10,8,False,True,43.0,18.0,smaller,True,True,True,kaggle_training
15663ba9,3,1,1,15,16,240,15,16,240,4,6,True,False,2.5,42.0,same,True,False,False,kaggle_training
15696249,4,1,1,3,3,9,9,9,81,5,6,True,False,4.8,11.6,larger,False,False,False,kaggle_training
17829a00,2,1,1,16,16,256,16,16,256,7,7,False,False,16.0,9.667,same,False,True,False,kaggle_training
178fcbfb,3,1,1,12,11,132,12,11,132,4,4,False,False,4.5,8.75,same,True,False,False,kaggle_training
17b80ad2,4,1,1,17,17,289,17,17,289,10,10,False,False,21.8,20.4,same,True,False,False,kaggle_training
17b866bd,2,2,2,21,21,336,21,21,336,5,5,False,False,4.25,4.25,same,True,True,True,kaggle_training
17cae0c1,4,1,1,3,9,27,3,9,27,2,5,True,True,3.2,3.0,same,False,False,False,kaggle_training
18286ef8,3,1,1,19,19,361,19,19,361,10,9,False,True,17.5,17.5,same,True,False,False,kaggle_training
182e5d0f,3,1,1,14,14,196,14,14,196,4,4,False,False,9.0,7.5,same,True,False,False,kaggle_training
18419cfa,3,1,1,28,26,728,28,26,728,3,3,False,False,6.0,8.0,same,True,False,True,kaggle_training
18447a8d,3,1,1,17,11,187,17,11,187,9,9,False,False,7.5,7.5,same,True,False,False,kaggle_training
184a9768,3,1,1,25,26,650,25,26,650,9,8,False,True,17.0,7.25,same,True,False,True,kaggle_training
195ba7dc,4,1,1,5,13,65,5,6,30,3,2,True,True,9.2,2.0,smaller,False,False,False,kaggle_training
1990f7a8,3,1,1,23,23,529,7,7,49,2,2,False,False,8.5,8.5,smaller,False,False,True,kaggle_training
19bb5feb,3,1,1,16,16,240,2,2,4,8,7,False,True,4.0,3.0,smaller,False,False,False,kaggle_training
1a07d186,3,1,1,19,26,494,19,26,494,6,6,False,False,8.75,2.0,same,True,False,True,kaggle_training
1a244afd,3,1,1,16,16,256,16,16,256,3,3,True,True,9.5,8.5,same,True,False,False,kaggle_training
1a2e2828,5,1,1,11,13,143,1,1,1,9,5,False,True,8.167,1.0,smaller,False,False,False,kaggle_training
1a6449f1,3,1,1,27,25,675,10,10,100,10,10,False,False,114.25,16.75,smaller,True,False,True,kaggle_training
1acc24af,4,1,1,12,12,144,12,12,144,3,4,True,False,4.4,4.4,same,False,False,False,kaggle_training
1b2d62fb,5,1,1,5,7,35,5,3,15,3,2,True,True,6.0,2.167,smaller,False,False,False,kaggle_training
1b59e163,2,1,1,18,18,324,18,18,324,7,6,False,True,17.333,15.667,same,False,True,False,kaggle_training
1b60fb0c,3,1,1,10,10,100,10,10,100,2,3,True,False,1.0,2.0,same,False,False,False,kaggle_training
1b8318e3,3,1,1,15,15,225,15,15,225,10,10,False,False,12.75,12.75,same,True,False,False,kaggle_training
1be83260,2,2,2,27,27,729,23,23,529,7,6,False,True,10.5,24.0,smaller,True,True,True,kaggle_training
1bfc4729,2,1,1,10,10,100,10,10,100,7,7,False,False,2.0,2.0,same,False,True,False,kaggle_training
1c02dbbe,3,1,1,15,15,225,15,15,225,8,8,False,False,8.5,3.75,same,False,False,False,kaggle_training
1c0d0a4b,3,1,1,13,13,169,13,13,169,2,2,True,True,10.25,12.75,same,True,False,False,kaggle_training
1c56ad9f,4,1,1,15,15,225,15,15,225,6,6,False,False,1.0,18.2,same,True,False,False,kaggle_training
1c786137,3,1,1,23,21,483,8,10,80,9,8,False,True,121.5,22.5,smaller,True,False,True,kaggle_training
1caeab9d,3,1,1,10,10,100,10,10,100,4,4,False,False,3.75,3.75,same,True,False,False,kaggle_training
1cf80156,3,1,1,12,12,144,5,6,24,5,5,False,False,1.0,1.0,smaller,True,False,False,kaggle_training
1d0a4b61,3,1,1,25,25,625,25,25,625,7,6,False,True,219.0,246.25,same,False,False,True,kaggle_training
1d398264,3,2,2,20,20,400,20,20,400,10,10,False,False,5.8,21.0,same,True,False,False,kaggle_training
1d61978c,2,1,1,16,16,256,16,16,256,2,3,True,True,21.0,21.0,same,False,True,False,kaggle_training
1da012fc,2,1,1,19,25,475,19,25,475,8,8,False,False,9.667,9.667,same,True,True,True,kaggle_training
1e0a9b12,3,1,1,6,6,36,6,6,36,10,10,False,False,6.0,4.25,same,True,False,False,kaggle_training
1e32b0e9,3,1,1,17,17,289,17,17,289,7,7,False,False,9.5,24.0,same,False,False,False,kaggle_training
1e5d6875,2,1,1,16,16,256,16,16,256,3,5,True,False,8.667,16.0,same,False,True,False,kaggle_training
1e81d6f9,3,1,1,15,15,225,15,15,225,10,10,False,False,27.5,23.25,same,False,False,False,kaggle_training
1efba499,3,1,1,12,14,168,12,14,168,10,10,False,False,10.5,13.5,same,True,False,False,kaggle_training
1f0c79e5,4,1,1,9,9,81,9,9,81,7,6,False,True,2.4,1.0,same,False,False,False,kaggle_training
1f642eb9,3,1,1,10,10,100,10,10,100,9,9,False,False,6.25,11.5,same,False,False,False,kaggle_training
1f85a75f,2,1,1,30,30,900,5,4,16,7,4,False,True,79.0,1.0,smaller,True,True,True,kaggle_training
1f876c06,3,1,1,10,10,100,10,10,100,8,8,False,False,8.0,18.5,same,False,False,False,kaggle_training
1fad071e,3,1,1,9,9,81,1,5,5,3,2,False,True,10.5,1.0,smaller,False,False,False,kaggle_training
2013d3e2,2,1,1,10,10,100,3,3,9,9,9,False,False,13.0,4.667,smaller,False,True,False,kaggle_training
2037f2c7,3,1,1,25,25,625,4,10,32,7,2,True,True,22.0,2.0,smaller,True,False,True,kaggle_training
2072aba6,3,1,1,3,3,9,6,6,36,2,3,True,True,1.5,17.0,larger,False,False,False,kaggle_training
20818e16,3,1,1,16,16,256,8,10,64,8,7,False,True,4.25,3.5,smaller,True,False,False,kaggle_training
20981f0e,3,1,1,17,19,247,17,19,247,3,3,False,False,16.25,16.25,same,True,False,False,kaggle_training
20fb2937,2,1,1,20,11,220,13,11,143,10,8,False,True,16.333,10.0,smaller,False,True,False,kaggle_training
212895b5,3,1,1,21,23,483,21,23,483,3,5,True,False,31.75,51.5,same,True,False,True,kaggle_training
21f83797,2,1,1,13,13,169,13,13,169,2,3,True,False,2.0,2.0,same,False,True,False,kaggle_training
2204b7a8,3,1,1,10,10,100,10,10,100,9,8,False,True,7.75,7.25,same,False,False,False,kaggle_training
22168020,3,1,1,10,10,100,10,10,100,7,7,False,False,10.5,2.0,same,False,False,False,kaggle_training
22208ba4,4,1,1,22,30,330,22,30,330,8,8,False,False,5.0,4.6,same,True,False,True,kaggle_training
22233c11,3,1,1,10,10,100,10,10,100,2,3,True,False,2.5,5.0,same,False,False,False,kaggle_training
22425bda,4,1,1,16,16,256,1,6,6,9,8,False,True,23.4,3.6,smaller,True,False,False,kaggle_training
22806e14,3,1,1,16,16,256,16,16,256,6,6,False,False,10.0,11.25,same,False,False,False,kaggle_training
2281f1f4,3,1,1,10,10,100,10,10,100,2,3,True,False,6.25,16.25,same,False,False,False,kaggle_training
228f6490,3,1,1,10,10,100,10,10,100,9,9,False,False,8.5,8.5,same,False,False,False,kaggle_training
22a4bbc2,4,1,1,22,5,95,22,5,95,3,4,True,False,12.2,12.2,same,True,False,True,kaggle_training
22eb0ac0,3,1,1,10,10,100,10,10,100,9,9,False,False,9.0,7.75,same,False,False,False,kaggle_training
230f2e48,3,1,1,16,16,256,16,16,256,4,4,False,False,10.25,10.25,same,True,False,False,kaggle_training
234bbc79,4,1,1,3,11,33,3,9,27,7,6,False,True,7.6,3.0,smaller,True,False,False,kaggle_training
23581191,2,1,1,9,9,81,9,9,81,3,4,True,False,2.0,8.0,same,False,True,False,kaggle_training
239be575,6,2,2,8,7,48,1,1,1,3,2,False,True,8.875,0.5,smaller,False,False,False,kaggle_training
23b5c85d,5,1,1,20,20,400,3,4,12,8,5,False,True,3.333,1.0,smaller,True,False,False,kaggle_training
25094a63,2,1,1,30,30,900,30,30,900,5,6,True,False,465.667,481.0,same,False,True,True,kaggle_training
252143c9,2,1,1,13,13,169,13,13,169,10,4,False,True,28.0,4.667,same,True,True,False,kaggle_training
253bf280,8,1,1,12,13,156,12,13,156,2,3,True,False,3.333,4.667,same,True,False,False,kaggle_training
2546ccf6,2,1,1,26,23,598,26,23,598,7,7,False,False,12.0,15.667,same,True,True,True,kaggle_training
256b0a75,3,1,1,25,26,650,25,26,650,10,10,False,False,21.5,23.25,same,True,False,True,kaggle_training
25c199f5,5,2,2,5,17,85,5,5,25,4,3,False,True,8.571,5.143,smaller,False,False,False,kaggle_training
25d487eb,3,1,1,16,15,180,16,15,180,6,6,False,False,2.0,3.0,same,True,False,False,kaggle_training
25d8a9c8,4,1,1,3,3,9,3,3,9,8,2,True,True,4.4,1.2,same,False,False,False,kaggle_training
25e02866,2,1,1,18,18,324,6,6,36,7,7,False,False,7.0,4.333,smaller,True,True,False,kaggle_training
25ff71a9,4,2,2,3,3,9,3,3,9,3,3,False,False,1.0,1.0,same,False,False,False,kaggle_training
2601afb7,3,1,1,11,11,121,11,11,121,9,9,False,False,5.0,5.0,same,True,False,False,kaggle_training
264363fd,3,1,1,30,30,900,30,30,900,7,7,False,False,12.25,25.75,same,False,False,True,kaggle_training
2685904e,6,1,1,10,10,100,10,10,100,10,10,False,False,10.0,13.143,same,False,False,False,kaggle_training
2697da3f,4,1,1,9,10,80,17,17,289,2,2,False,False,2.6,10.4,larger,True,False,False,kaggle_training
272f95fa,2,1,1,18,19,342,18,19,342,2,7,True,False,1.0,6.0,same,True,True,False,kaggle_training
2753e76c,3,1,1,16,16,256,4,5,20,6,6,False,False,9.5,3.5,smaller,True,False,False,kaggle_training
278e5215,3,1,1,18,18,324,10,10,70,9,7,False,True,6.5,15.75,smaller,True,False,False,kaggle_training
27a28665,7,3,3,3,3,9,1,1,1,7,4,True,True,3.0,1.0,smaller,False,False,False,kaggle_training
27a77e38,3,1,1,9,9,81,9,9,81,10,10,False,False,17.0,18.0,same,True,False,False,kaggle_training
27f8ce4f,4,1,1,3,3,9,9,9,81,9,10,True,False,6.2,21.6,larger,False,False,False,kaggle_training
281123b4,6,1,1,4,19,76,4,4,16,6,5,False,True,12.714,8.429,smaller,False,False,False,kaggle_training
28bf18c6,3,1,1,8,8,64,3,6,18,5,5,False,False,1.5,2.25,smaller,False,False,False,kaggle_training
28e73c20,5,1,1,18,18,324,18,18,324,1,2,True,False,0.0,1.0,same,True,False,False,kaggle_training
292dd178,3,1,1,11,15,165,11,15,165,5,6,True,False,3.25,5.25,same,True,False,False,kaggle_training
29623171,3,1,1,11,11,121,11,11,121,6,6,False,False,11.5,2.5,same,False,False,False,kaggle_training
29700607,3,1,1,15,15,225,15,15,225,7,7,False,False,5.5,3.0,same,True,False,False,kaggle_training
29c11459,2,1,1,5,11,55,5,11,55,9,10,True,False,2.667,4.0,same,False,True,False,kaggle_training
2a28add5,2,1,1,10,10,100,10,10,100,10,2,False,True,36.667,4.667,same,False,True,False,kaggle_training
2a5f8217,3,1,1,13,13,169,13,13,169,9,8,False,True,6.5,6.5,same,True,False,False,kaggle_training
2b01abd0,3,1,1,14,16,224,14,16,224,8,8,False,False,5.25,9.5,same,True,False,False,kaggle_training
2b9ef948,3,2,2,30,30,900,30,30,900,8,6,False,True,5.0,35.8,same,True,False,True,kaggle_training
2bcee788,4,1,1,10,10,100,10,10,100,7,6,True,True,2.0,2.0,same,False,False,False,kaggle_training
2bee17df,3,1,1,14,14,196,14,14,196,3,4,True,False,2.0,3.0,same,True,False,False,kaggle_training
2c0b0aff,4,1,1,24,24,576,8,11,88,3,2,False,True,36.8,10.2,smaller,True,False,True,kaggle_training
2c608aff,4,1,1,19,21,399,19,21,399,6,6,False,False,6.0,6.0,same,True,False,True,kaggle_training
2c737e39,3,1,1,12,12,144,12,12,144,8,8,False,False,6.0,9.0,same,True,False,False,kaggle_training
2ccd9fef,2,2,2,24,27,297,11,11,99,6,6,False,False,38.0,17.5,smaller,True,True,True,kaggle_training
2dc579da,3,1,1,13,13,169,6,6,36,6,5,False,True,5.75,2.0,smaller,True,False,False,kaggle_training
2dd70a9a,3,1,1,20,20,400,20,20,400,4,4,False,False,25.25,25.25,same,True,False,False,kaggle_training
2de01db2,3,1,1,3,10,30,3,10,30,7,4,False,True,10.0,7.25,same,False,False,False,kaggle_training
2dee498d,3,1,1,5,15,75,5,5,25,6,6,False,False,13.75,5.25,smaller,True,False,False,kaggle_training
2e65ae53,2,1,1,28,28,784,28,28,784,9,9,False,False,8.667,23.333,same,False,True,True,kaggle_training
2f0c5170,3,1,1,21,23,462,9,9,81,6,5,False,True,4.25,2.25,smaller,True,False,True,kaggle_training
2f767503,3,1,1,14,13,168,14,13,168,4,4,False,False,16.0,14.0,same,True,False,False,kaggle_training
2faf500b,3,1,1,19,19,361,19,19,361,3,2,False,True,18.75,7.5,same,True,False,False,kaggle_training
305b1341,3,1,1,20,20,400,20,20,400,9,9,False,False,39.25,36.5,same,False,False,False,kaggle_training
30f42897,3,1,1,7,14,70,7,14,70,5,5,False,False,2.0,5.5,same,True,False,False,kaggle_training
310f3251,5,1,1,5,5,25,15,15,225,7,8,True,False,1.5,25.5,larger,True,False,False,kaggle_training
3194b014,3,1,1,20,20,400,3,3,9,10,4,False,True,97.75,1.0,smaller,False,False,False,kaggle_training
319f2597,3,1,1,20,20,400,20,20,400,10,10,False,False,312.5,265.25,same,False,False,False,kaggle_training
31aa019c,3,1,1,10,10,100,10,10,100,10,6,False,True,21.75,2.0,same,False,False,False,kaggle_training
31adaf00,3,1,1,10,10,100,10,10,100,2,3,True,False,14.5,18.75,same,False,False,False,kaggle_training
31d5ba1a,5,2,2,6,5,30,3,5,15,3,2,True,True,5.571,2.714,smaller,False,False,False,kaggle_training
320afe60,3,2,2,22,26,572,22,26,572,2,3,True,True,6.0,6.6,same,True,False,True,kaggle_training
321b1fc6,2,1,1,10,10,100,10,10,100,7,6,False,True,6.0,9.0,same,False,True,False,kaggle_training
32597951,3,1,1,17,17,289,17,17,289,3,4,True,False,75.0,77.0,same,False,False,False,kaggle_training
32e9702f,3,1,1,10,10,100,10,10,100,5,5,True,True,2.5,3.5,same,True,False,False,kaggle_training
33067df9,4,1,1,9,9,81,26,26,676,7,7,False,False,7.6,5.6,larger,False,False,True,kaggle_training
332202d5,3,1,1,16,16,256,16,16,256,10,9,False,True,20.5,23.0,same,False,False,False,kaggle_training
332efdb3,3,1,1,11,11,121,11,11,121,1,2,True,False,0.0,1.0,same,True,False,False,kaggle_training
3345333e,2,1,1,16,16,256,16,16,256,7,4,False,True,4.0,2.0,same,False,True,False,kaggle_training
337b420f,4,2,2,5,17,85,5,5,25,10,9,False,True,9.667,5.0,smaller,False,False,False,kaggle_training
3391f8c0,4,1,1,11,17,154,11,17,154,8,8,False,False,7.6,6.4,same,True,False,False,kaggle_training
33b52de3,2,1,1,23,23,529,23,23,529,7,6,False,True,25.0,25.0,same,False,True,True,kaggle_training
3428a4f5,4,2,2,13,5,65,6,5,30,3,2,True,True,9.0,3.833,smaller,False,False,False,kaggle_training
342ae2ed,3,1,1,16,16,256,16,16,256,9,9,False,False,8.5,23.0,same,False,False,False,kaggle_training
342dd610,4,1,1,16,16,256,16,16,256,5,5,False,False,4.4,4.4,same,False,False,False,kaggle_training
3490cc26,4,1,1,26,28,728,26,28,728,3,4,True,False,8.8,14.6,same,True,False,True,kaggle_training
34b99a2b,4,1,1,5,9,45,5,4,20,4,2,True,True,7.2,2.0,smaller,False,False,False,kaggle_training
34cfa167,2,2,2,30,30,900,30,30,900,7,7,False,False,6.5,21.0,same,True,True,True,kaggle_training
351d6448,2,1,1,15,13,195,3,13,39,5,4,False,True,9.667,1.667,smaller,False,True,False,kaggle_training
358ba94e,4,1,1,17,19,323,5,5,25,6,6,False,False,4.8,1.0,smaller,False,False,False,kaggle_training
3618c87e,3,1,1,5,5,25,5,5,25,3,3,False,False,2.75,5.75,same,False,False,False,kaggle_training
363442ee,3,1,1,9,13,117,9,13,117,10,9,False,True,11.25,31.5,same,False,False,False,kaggle_training
36d67576,3,1,1,14,15,210,14,15,210,5,5,False,False,11.25,19.75,same,False,False,False,kaggle_training
36fdfd69,3,1,1,17,18,306,17,18,306,6,7,True,False,36.0,41.0,same,True,False,False,kaggle_training
37ce87bb,3,1,1,9,15,135,9,15,135,3,4,True,False,4.5,5.5,same,True,False,False,kaggle_training
37d3e8b2,3,1,1,19,18,323,19,18,323,2,5,True,True,5.0,5.0,same,True,False,False,kaggle_training
3906de3d,3,1,1,10,10,100,10,10,100,3,3,False,False,3.25,3.5,same,False,False,False,kaggle_training
396d80d7,2,1,1,16,16,256,16,16,256,6,6,False,False,14.0,32.0,same,False,True,False,kaggle_training
3979b1a8,2,1,1,5,5,25,10,10,100,6,6,False,False,6.0,9.0,larger,False,True,False,kaggle_training
39a8645d,3,1,1,14,14,196,3,3,9,7,4,False,True,14.5,2.5,smaller,False,False,False,kaggle_training
39e1d7f9,3,1,1,29,29,841,29,29,841,6,6,False,False,10.0,20.25,same,True,False,True,kaggle_training
3a301edc,5,1,1,21,21,441,21,21,441,8,8,False,False,2.0,3.0,same,True,False,True,kaggle_training
3aa6fb7a,2,1,1,7,7,49,7,7,49,2,3,True,False,3.0,6.0,same,False,True,False,kaggle_training
3ac3eb23,2,1,1,6,12,72,6,12,72,7,7,False,False,2.0,18.0,same,True,True,False,kaggle_training
3ad05f52,3,1,1,29,28,784,29,28,784,6,6,False,False,5.0,4.0,same,True,False,True,kaggle_training
3af2c5a8,3,1,1,3,4,12,6,8,48,4,4,False,False,2.5,6.25,larger,False,False,False,kaggle_training
3b4c2228,5,2,2,8,8,64,3,3,9,3,2,True,True,6.571,2.0,smaller,False,False,False,kaggle_training
3bd292e8,3,1,1,9,9,81,9,9,81,2,3,True,True,5.5,5.5,same,True,False,False,kaggle_training
3bd67248,3,1,1,15,15,225,15,15,225,5,7,True,False,1.0,9.75,same,True,False,False,kaggle_training
3bdb4ada,2,1,1,11,30,240,11,30,240,6,6,False,False,2.333,2.333,same,True,True,True,kaggle_training
3befdf3e,3,1,1,12,12,144,12,12,144,8,8,False,False,2.5,7.5,same,False,False,False,kaggle_training
3c9b0459,4,1,1,3,3,9,3,3,9,9,9,False,False,4.8,4.8,same,False,False,False,kaggle_training
3cd86f4f,3,3,3,10,9,36,10,12,110,8,9,True,False,8.667,9.167,larger,True,False,False,kaggle_training
3d31c5b3,6,1,1,12,6,72,3,6,18,5,5,False,False,12.429,8.0,smaller,False,False,False,kaggle_training
3d588dc9,2,1,1,16,16,256,16,16,256,8,9,True,False,4.333,5.333,same,False,True,False,kaggle_training
3d6c6e23,3,1,1,30,13,300,30,13,300,6,6,False,False,6.0,2.0,same,True,False,True,kaggle_training
3de23699,4,1,1,18,19,342,8,10,80,6,6,False,False,6.8,2.8,smaller,True,False,False,kaggle_training
3e980e27,4,1,1,13,13,169,13,13,169,6,6,False,False,7.2,12.0,same,False,False,False,kaggle_training
3eda0437,4,1,1,4,30,96,4,30,96,3,4,True,False,8.6,9.6,same,True,False,True,kaggle_training
3ee1011a,3,1,1,24,29,667,8,8,64,8,7,False,True,3.5,3.5,smaller,True,False,True,kaggle_training
3f23242b,2,1,1,17,19,323,17,19,323,2,5,True,False,2.0,14.0,same,True,True,False,kaggle_training
3f7978a0,3,1,1,14,13,182,10,7,40,3,3,False,False,16.0,8.0,smaller,True,False,False,kaggle_training
4093f84a,3,1,1,14,14,196,14,14,196,6,2,False,True,10.25,1.0,same,False,False,False,kaggle_training
40f6cd08,3,1,1,30,30,900,30,30,900,7,7,False,False,6.0,11.75,same,True,False,True,kaggle_training
412b6263,3,1,1,9,10,56,23,11,171,3,4,True,False,5.0,23.0,larger,True,False,True,kaggle_training
414297c0,3,1,1,26,24,624,12,15,135,8,7,False,True,17.5,13.25,smaller,True,False,True,kaggle_training
41ace6b5,3,1,1,15,15,225,15,15,225,5,6,True,False,28.25,38.25,same,True,False,False,kaggle_training
41e4d17e,2,1,1,15,15,225,15,15,225,2,3,True,False,4.333,22.667,same,False,True,False,kaggle_training
423a55dc,5,1,1,11,13,143,11,13,143,6,6,False,False,1.0,5.667,same,True,False,False,kaggle_training
4258a5f9,2,1,1,9,9,81,9,9,81,2,3,True,False,4.0,6.667,same,False,True,False,kaggle_training
4290ef0e,3,1,1,19,19,361,11,11,121,8,8,False,False,12.25,17.75,smaller,True,False,False,kaggle_training
42918530,4,1,1,25,25,625,25,25,625,9,9,False,False,11.2,11.8,same,True,False,True,kaggle_training
42a15761,3,1,1,11,19,209,11,19,209,2,2,False,False,4.0,4.0,same,True,False,False,kaggle_training
42a50994,4,1,1,17,19,238,17,19,238,6,6,False,False,25.6,14.8,same,True,False,False,kaggle_training
42f14c03,3,1,1,16,16,256,7,6,30,7,6,False,True,5.5,3.0,smaller,True,False,False,kaggle_training
42f83767,3,2,2,15,29,435,30,30,900,7,6,False,True,23.0,20.2,inconsistent,True,False,True,kaggle_training
4347f46a,3,1,1,18,19,323,18,19,323,9,9,False,False,3.0,3.0,same,True,False,False,kaggle_training
4364c1c4,3,1,1,16,13,192,16,13,192,7,7,False,False,4.0,4.25,same,True,False,False,kaggle_training
