task_id,test_index,family,oracle_hit,native_top2_hit,v4_top2_hit,sufficiency,category
5587a8d0,0,inconsistent,False,False,False,1.0,1_generation_failure
56dc2b01,0,same,False,False,False,1.0,1_generation_failure
57aa92db,0,same,False,False,False,1.0,1_generation_failure
58e15b12,0,same,False,False,False,1.0,1_generation_failure
5a5a2103,0,same,False,False,False,1.0,1_generation_failure
5d2a5c43,0,smaller,False,False,False,1.0,1_generation_failure
5d2a5c43,1,smaller,False,False,False,1.0,1_generation_failure
5daaa586,0,smaller,False,False,False,1.0,1_generation_failure
60b61512,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
642248e4,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
6430c8c4,0,smaller,False,False,False,1.0,1_generation_failure
689c358e,0,same,False,False,False,1.0,1_generation_failure
69889d6e,0,same,True,True,True,1.0,6_both_succeed
6ca952ad,0,same,False,False,False,1.0,1_generation_failure
6df30ad6,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
6ecd11f4,0,smaller,False,False,False,1.0,1_generation_failure
6f473927,0,larger,False,False,False,1.0,1_generation_failure
6f8cd79b,0,same,True,True,True,1.0,6_both_succeed
6ffe8f07,0,same,False,False,False,1.0,1_generation_failure
6ffe8f07,1,same,False,False,False,1.0,1_generation_failure
72322fa7,0,same,False,False,False,1.0,1_generation_failure
72ca375d,0,smaller,False,False,False,1.0,1_generation_failure
780d0b14,0,smaller,False,False,False,1.0,1_generation_failure
78e78cff,0,same,False,False,False,1.0,1_generation_failure
79cce52d,0,smaller,False,False,False,1.0,1_generation_failure
7c9b52a0,0,smaller,False,False,False,1.0,1_generation_failure
7e4d4f7c,0,smaller,False,False,False,1.0,1_generation_failure
7ee1c6ea,0,same,True,True,True,1.0,6_both_succeed
8719f442,0,larger,False,False,False,1.0,1_generation_failure
8886d717,0,same,False,False,False,1.0,1_generation_failure
88a62173,0,smaller,True,False,True,1.0,5_verifier_rescue
8a004b2b,0,smaller,False,False,False,1.0,1_generation_failure
8ee62060,0,same,False,False,False,1.0,1_generation_failure
902510d5,0,same,False,False,False,1.0,1_generation_failure
90347967,0,same,False,False,False,1.0,1_generation_failure
913fb3ed,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
91714a58,0,same,True,True,False,1.0,4_native_only_success
928ad970,0,same,False,False,False,1.0,1_generation_failure
92e50de0,0,same,False,False,False,1.0,1_generation_failure
93c31fbe,0,same,False,False,False,1.0,1_generation_failure
94133066,0,smaller,False,False,False,1.0,1_generation_failure
94be5b80,0,same,False,False,False,1.0,1_generation_failure
981add89,0,same,False,False,False,1.0,1_generation_failure
992798f6,0,same,False,False,False,1.0,1_generation_failure
99b1bc43,0,smaller,False,False,False,1.0,1_generation_failure
9aec4887,0,smaller,False,False,False,1.0,1_generation_failure
9af7a82c,0,larger,False,False,False,1.0,1_generation_failure
9b2a60aa,0,same,False,False,False,1.0,1_generation_failure
9b30e358,0,same,False,False,False,1.0,1_generation_failure
9ba4a9aa,0,smaller,True,True,True,1.0,6_both_succeed
9f669b64,0,same,False,False,False,1.0,1_generation_failure
a09f6c25,0,same,False,False,False,1.0,1_generation_failure
a09f6c25,1,same,False,False,False,1.0,1_generation_failure
a3325580,0,smaller,False,False,False,1.0,1_generation_failure
a3f84088,0,same,False,False,False,1.0,1_generation_failure
a644e277,0,smaller,False,False,False,1.0,1_generation_failure
a64e4611,0,same,False,False,False,1.0,1_generation_failure
a68b268e,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
a78176bb,0,same,False,False,False,1.0,1_generation_failure
a87f7484,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
a8c38be5,0,smaller,False,False,False,1.0,1_generation_failure
ad3b40cf,0,same,False,False,False,1.0,1_generation_failure
ad7e01d0,0,larger,False,False,False,1.0,1_generation_failure
af902bf9,0,same,False,False,False,1.0,1_generation_failure
b0722778,0,smaller,False,False,False,1.0,1_generation_failure
b27ca6d3,0,same,False,False,False,1.0,1_generation_failure
b457fec5,0,same,False,False,False,1.0,1_generation_failure
b4a43f3b,0,larger,False,False,False,1.0,1_generation_failure
b745798f,0,same,False,False,False,1.0,1_generation_failure
b74ca5d1,0,same,False,False,False,1.0,1_generation_failure
b74ca5d1,1,same,False,False,False,1.0,1_generation_failure
b7999b51,0,smaller,False,False,False,1.0,1_generation_failure
b7fb29bc,0,same,False,False,False,1.0,1_generation_failure
b9b7f026,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
bb43febb,0,same,True,True,True,1.0,6_both_succeed
bd283c4a,0,same,False,False,False,1.0,1_generation_failure
c1990cce,0,larger,False,False,False,1.0,1_generation_failure
c62e2108,0,same,False,False,False,1.0,1_generation_failure
c8b7cc0f,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
c9e6f938,0,larger,True,False,False,1.0,7_both_fail_correct_candidate_present
ce039d91,0,same,False,False,False,1.0,1_generation_failure
ce4f8723,0,smaller,False,False,False,1.0,1_generation_failure
d4a91cb9,0,same,True,False,False,1.0,7_both_fail_correct_candidate_present
d56f2372,0,smaller,False,False,False,1.0,1_generation_failure
d631b094,0,inconsistent,False,False,False,1.0,1_generation_failure
d753a70b,0,same,False,False,False,1.0,1_generation_failure
d9fac9be,0,smaller,True,True,True,1.0,6_both_succeed
db615bd4,0,same,False,False,False,1.0,1_generation_failure
e0fb7511,0,same,True,True,True,1.0,6_both_succeed
e133d23d,0,smaller,True,False,False,1.0,7_both_fail_correct_candidate_present
e633a9e5,0,larger,True,True,False,1.0,4_native_only_success
ea786f4a,0,same,True,True,True,1.0,6_both_succeed
ecb67b6d,0,same,False,False,False,1.0,1_generation_failure
ed98d772,0,larger,False,False,False,1.0,1_generation_failure
edcc2ff0,0,same,False,False,False,1.0,1_generation_failure
f0f8a26d,0,same,False,False,False,1.0,1_generation_failure
f1cefba8,0,same,True,True,True,1.0,6_both_succeed
f35d900a,0,same,False,False,False,1.0,1_generation_failure
f3e14006,0,same,False,False,False,1.0,1_generation_failure
f3e14006,1,same,False,False,False,1.0,1_generation_failure
f76d97a5,0,same,True,True,True,1.0,6_both_succeed
f823c43c,0,same,True,True,True,1.0,6_both_succeed
f8c80d96,0,same,True,True,True,1.0,6_both_succeed
f8ff0b80,0,smaller,True,True,False,1.0,4_native_only_success
fd4b2b02,0,same,False,False,False,1.0,1_generation_failure
ff805c23,0,smaller,False,False,False,1.0,1_generation_failure
