task_id,shard,in_arc2_training_split,in_arc2_evaluation_split,in_nvarc_sdg_arc2_training_glob,in_nvarc_sdg_arc2_evaluation6_glob,rearc_name_collision_checkable_locally,task_classification
29700607,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
2c0b0aff,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
2c737e39,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
2de01db2,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
310f3251,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
31aa019c,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
332202d5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
342ae2ed,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
3490cc26,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
34cfa167,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
351d6448,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
36fdfd69,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
3906de3d,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
396d80d7,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
3979b1a8,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
3cd86f4f,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
3d31c5b3,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
414297c0,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
41ace6b5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
423a55dc,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
4364c1c4,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
46c35fc7,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
48d8fb45,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
4a1cacc2,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
4e45f183,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
4ff4c9da,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
506d28a5,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
50846271,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
50c07299,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
52fd389e,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
53b68214,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
543a7ed5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
54d82841,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
5587a8d0,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
56dc2b01,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
57aa92db,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
58e15b12,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
5a5a2103,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
5d2a5c43,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
5daaa586,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
60b61512,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
642248e4,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6430c8c4,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
689c358e,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
69889d6e,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6ca952ad,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6df30ad6,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6ecd11f4,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6f473927,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6f8cd79b,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
6ffe8f07,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
72322fa7,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
72ca375d,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
780d0b14,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
78e78cff,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
79cce52d,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
7c9b52a0,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
7e4d4f7c,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
7ee1c6ea,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
8719f442,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
8886d717,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
88a62173,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
8a004b2b,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
8ee62060,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
902510d5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
90347967,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
913fb3ed,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
91714a58,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
928ad970,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
92e50de0,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
93c31fbe,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
94133066,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
94be5b80,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
981add89,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
992798f6,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
99b1bc43,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9aec4887,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9af7a82c,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9b2a60aa,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9b30e358,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9ba4a9aa,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
9f669b64,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a09f6c25,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a3325580,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a3f84088,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a644e277,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a64e4611,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a68b268e,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a78176bb,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a87f7484,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
a8c38be5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ad3b40cf,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ad7e01d0,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
af902bf9,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b0722778,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b27ca6d3,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b457fec5,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b4a43f3b,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b745798f,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b74ca5d1,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b7999b51,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b7fb29bc,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
b9b7f026,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
bb43febb,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
bd283c4a,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
c1990cce,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
c62e2108,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
c8b7cc0f,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
c9e6f938,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ce039d91,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ce4f8723,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
d4a91cb9,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
d56f2372,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
d631b094,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
d753a70b,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
d9fac9be,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
db615bd4,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
e0fb7511,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
e133d23d,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
e633a9e5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ea786f4a,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ecb67b6d,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ed98d772,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
edcc2ff0,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f0f8a26d,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f1cefba8,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f35d900a,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f3e14006,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f76d97a5,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f823c43c,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f8c80d96,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
f8ff0b80,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
fd4b2b02,B,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
ff805c23,A,1,0,1,0,0,SCIENTIFICALLY_CONTAMINATED
