task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
8ee62060,591,1,589,,,2403.2027,1,cuda:0,241.6167,
90347967,464,1,462,,,2403.1913,1,cuda:1,179.2632,
91714a58,159,1,157,,,2403.1635,1,cuda:1,593.7090,
92e50de0,488,1,486,,,2401.2472,1,cuda:1,1142.1694,
94be5b80,468,1,466,,,2400.8293,1,cuda:0,384.7153,
992798f6,574,1,572,,,2401.1304,1,cuda:0,305.2373,
99b1bc43,377,1,375,,,2401.4191,1,cuda:0,78.9043,
9af7a82c,10,1,8,,,2404.3572,1,cuda:1,69.6968,
9b30e358,513,1,511,,,2402.9485,1,cuda:1,121.6992,
9ba4a9aa,263,1,261,,,2404.0730,1,cuda:1,1112.9409,
a3f84088,370,1,368,,,2406.0018,1,cuda:0,763.8921,
a644e277,277,1,275,,,2400.8539,1,cuda:0,515.1729,
a78176bb,348,1,346,,,2402.3306,1,cuda:0,163.6675,
a87f7484,101,1,99,,,2402.9410,1,cuda:1,589.2139,
af902bf9,541,1,539,,,2402.3553,1,cuda:1,93.9751,
b0722778,393,1,391,,,2404.3499,1,cuda:1,197.4346,
b457fec5,683,1,681,,,2404.4029,1,cuda:0,994.1118,
b4a43f3b,296,1,294,,,2401.1682,1,cuda:0,575.0176,
b74ca5d1,1762,2,1758,,,2403.7410,1,cuda:0,2521.7705,
b7fb29bc,754,1,752,,,2402.9412,1,cuda:1,223.8350,
b9b7f026,10,1,8,,,2400.9721,1,cuda:1,567.4897,
bd283c4a,726,1,724,,,2401.6919,1,cuda:1,165.2949,
c9e6f938,253,1,251,,,2400.4124,1,cuda:0,34.9751,
ce039d91,514,1,512,,,2401.0921,1,cuda:0,111.1377,
ce4f8723,324,1,322,,,2402.0030,1,cuda:0,78.9043,
d631b094,18,1,16,,,2403.1232,1,cuda:1,49.8735,
d753a70b,504,1,502,,,2402.3577,1,cuda:1,362.6987,
d9fac9be,6,1,4,,,2402.7708,1,cuda:1,268.3271,
e0fb7511,505,1,503,,,2400.8373,1,cuda:0,138.1226,
ecb67b6d,381,1,379,,,2403.7261,1,cuda:0,288.7012,
ed98d772,576,1,574,,,2403.2387,1,cuda:0,103.9756,
f0f8a26d,589,1,587,,,2401.9468,1,cuda:1,252.7480,
f35d900a,514,1,512,,,2401.9222,1,cuda:1,636.8345,
f823c43c,301,1,299,,,2401.2308,1,cuda:1,373.7100,
f8ff0b80,162,1,160,,,2400.9708,1,cuda:0,285.3125,
fd4b2b02,1060,1,1058,,,2401.3230,1,cuda:0,470.7690,
