task_id,n_records,n_test_inputs,n_candidates,n_unique_grids,ttt_seconds,solve_seconds,hit_time_guard,gpu_index,peak_mem_train_mib,peak_mem_infer_mib
58e15b12,438,1,436,,,2403.8544,1,cuda:0,452.6968,
5daaa586,250,1,248,,,2401.4068,1,cuda:1,782.6743,
60b61512,465,1,463,,,2400.3412,1,cuda:1,67.7466,
689c358e,412,1,410,,,2403.7162,1,cuda:1,171.4829,
6ca952ad,474,1,472,,,2403.5019,1,cuda:0,362.6987,
6ecd11f4,200,1,198,,,2404.1076,1,cuda:0,1528.1997,
6f8cd79b,64,1,62,,,2404.8495,1,cuda:0,50.7114,
780d0b14,102,1,100,,,2404.1247,1,cuda:1,1168.4331,
78e78cff,527,1,525,,,2402.1353,1,cuda:1,197.0293,
7c9b52a0,358,1,356,,,2402.8995,1,cuda:1,474.9722,
8719f442,642,1,640,,,2402.3574,1,cuda:0,123.6958,
8886d717,468,1,466,,,2401.1547,1,cuda:0,214.1660,
88a62173,40,1,38,,,2403.3171,1,cuda:0,57.1226,
902510d5,329,1,327,,,2401.9632,1,cuda:1,551.1938,
913fb3ed,395,1,393,,,2403.6785,1,cuda:1,515.2505,
928ad970,644,1,642,,,2403.8830,1,cuda:1,325.0029,
93c31fbe,422,1,420,,,2403.2033,1,cuda:0,994.6235,
94133066,192,1,190,,,2404.7678,1,cuda:0,1103.8970,
981add89,594,1,592,,,2403.9450,1,cuda:0,1217.3726,
9aec4887,309,1,307,,,2400.8941,1,cuda:1,474.9722,
9b2a60aa,365,1,363,,,2404.1311,1,cuda:1,637.6084,
9f669b64,433,1,431,,,2401.5383,1,cuda:1,232.3208,
a09f6c25,1236,2,1232,,,2401.8971,1,cuda:0,1705.6162,
a3325580,346,1,344,,,2400.3859,1,cuda:0,428.6470,
a64e4611,752,1,750,,,2402.4107,1,cuda:0,1222.1509,
a68b268e,300,1,298,,,2400.1371,1,cuda:1,225.6382,
a8c38be5,431,1,429,,,2403.5091,1,cuda:1,422.3184,
ad3b40cf,391,1,389,,,2403.6859,1,cuda:1,551.9844,
ad7e01d0,64,1,62,,,2405.7050,1,cuda:0,374.9497,
b27ca6d3,553,1,551,,,2402.1769,1,cuda:0,179.6753,
b745798f,629,1,627,,,2402.3784,1,cuda:0,525.5312,
b7999b51,272,1,270,,,2405.0769,1,cuda:1,641.6084,
bb43febb,345,1,343,,,2402.5989,1,cuda:1,76.8208,
c1990cce,94,1,92,,,2401.4113,1,cuda:1,169.4546,
c62e2108,618,1,616,,,2402.7943,1,cuda:0,797.7534,
c8b7cc0f,187,1,185,,,2404.3016,1,cuda:0,139.5552,
d4a91cb9,632,1,630,,,2401.0548,1,cuda:0,164.4448,
d56f2372,248,1,246,,,2404.2674,1,cuda:1,810.7417,
db615bd4,449,1,447,,,2403.0247,1,cuda:1,1001.3433,
e133d23d,130,1,128,,,2401.9066,1,cuda:1,65.3599,
e633a9e5,597,1,595,,,2403.1080,1,cuda:0,82.3901,
ea786f4a,211,1,209,,,2402.4842,1,cuda:0,162.5908,
edcc2ff0,486,1,484,,,2400.7684,1,cuda:0,426.9341,
f1cefba8,427,1,425,,,2402.8229,1,cuda:1,487.0635,
f3e14006,1182,2,1178,,,2403.6539,1,cuda:1,1254.7295,
f76d97a5,190,1,188,,,2400.2753,1,cuda:1,63.6143,
f8c80d96,1012,1,1010,,,2401.8303,1,cuda:0,163.6675,
ff805c23,868,1,866,,,2401.9792,1,cuda:0,1053.6367,
